name,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
IMU24,1695914599200000000,9.567230224609375,-0.6248866319656372,0.47165772318840027,-27.25,1.5625,-1.625,-57.439998626708984,26.399999618530273,-68.84615325927734
IMU24,1695914599298000000,9.679757118225098,-0.2513911724090576,0.5003881454467773,-35.8125,2.0625,-2.25,-63.119998931884766,24.8799991607666,-72.46154022216797
IMU24,1695914599395000000,9.461884498596191,-0.31603461503982544,0.5386953949928284,-43.75,2.1875,-2.3125,-65.23999786376953,23.31999969482422,-72.46154022216797
IMU24,1695914599493000000,9.646238327026367,-0.023942016065120697,0.5003881454467773,-52.0625,2.5625,-2.9375,-65.83999633789062,21.1200008392334,-70.69230651855469
IMU24,1695914599590000000,9.655815124511719,0.38067805767059326,0.08858545869588852,-60.1875,2.75,-3.4375,-65.83999633789062,18.68000030517578,-66.07691955566406
IMU24,1695914599688000000,9.981427192687988,0.31603461503982544,0.7374141216278076,-68.4375,2.25,-3.875,-66.4000015258789,15.800000190734863,-62.769229888916016
IMU24,1695914599785000000,10.168174743652344,0.5961562395095825,-0.2585737705230713,-76.9375,1.875,-3.9375,-67.19999694824219,12.359999656677246,-58.92307662963867
IMU24,1695914599883000000,10.292673110961914,0.7086836695671082,-0.033518824726343155,-81,1,-4.625,-67.91999816894531,8.199999809265137,-55.07692337036133
IMU24,1695914599981000000,9.473855972290039,0.33518823981285095,-0.27054479718208313,-81,0.5,-4,-68.55999755859375,3.8399999141693115,-52.61538314819336
IMU24,1695914600078000000,9.464279174804688,0.9241618514060974,0.047884032130241394,-81.4375,-0.5625,-4.3125,-69.4000015258789,-2.0799999237060547,-51.153846740722656
IMU24,1695914600175000000,9.926360130310059,0.6967126727104187,-0.3687070608139038,-80.75,-1.8125,-4.25,-69.80000305175781,-6.679999828338623,-50.61538314819336
IMU24,1695914600273000000,10.182539939880371,0.395043283700943,-0.6560112833976746,-72.5625,-2.0625,-4.25,-70.5199966430664,-10.960000038146973,-50.69230651855469
IMU24,1695914600370000000,9.979032516479492,0.7062894701957703,-0.05267243832349777,-64.3125,-2.375,-3.5625,-70.80000305175781,-15.279999732971191,-52.61538314819336
IMU24,1695914600468000000,9.84495735168457,0.5554547905921936,-0.2106897532939911,-56.4375,-1.9375,-3.1875,-71.04000091552734,-18.639999389648438,-53.846153259277344
IMU24,1695914600614000000,9.667786598205566,0.49559974670410156,-0.2825157940387726,-48,-1.9375,-2.625,-71.16000366210938,-21.239999771118164,-55.846153259277344
IMU24,1695914600711000000,9.5408935546875,0.325611412525177,-0.2537853717803955,-40.375,-2.125,-2.625,-71.44000244140625,-23.719999313354492,-57.69230651855469
IMU24,1695914600809000000,9.68933391571045,0.45489832758903503,-0.1364694982767105,-31.5625,-1.8125,-2,-71.04000091552734,-25.959999084472656,-59.230770111083984
IMU24,1695914600907000000,9.75637149810791,0.49320554733276367,-0.19632454216480255,-23.4375,-1.5625,-1.1875,-71.31999969482422,-27.600000381469727,-60.846153259277344
IMU24,1695914601004000000,9.758766174316406,0.5793967843055725,-0.21308395266532898,-15.125,-1,-0.9375,-71.19999694824219,-28.360000610351562,-61.846153259277344
IMU24,1695914601103000000,9.84735107421875,0.5027823448181152,-0.20350714027881622,-6.8125,-0.4375,-0.4375,-71.08000183105469,-29.15999984741211,-62.61538314819336
IMU24,1695914601199000000,9.768342971801758,0.6057330369949341,-0.5219359397888184,1.5625,0,-0.1875,-71.19999694824219,-29.639999389648438,-62.53845977783203
IMU24,1695914601296000000,9.818620681762695,0.5099649429321289,-0.22505494952201843,9.5625,0.5625,0.75,-71.36000061035156,-29.559999465942383,-63.07692337036133
IMU24,1695914601394000000,9.931148529052734,0.6823474764823914,-0.24181437492370605,17.125,0.875,0.75,-71.36000061035156,-29.559999465942383,-62.46154022216797
